time:7.796752452850342, length:1.4474865829750712, ratio:0.19361194029850745
time:2.863924026489258, length:0.6901224663278064, ratio:0.1506268656716418
time:8.720886945724487, length:1.4485431530557569, ratio:0.1863283582089552
time:4.8882834911346436, length:1.382116783391116, ratio:0.1701492537313433
time:4.3337883949279785, length:1.1518634255349363, ratio:0.16322388059701493
time:2.636402130126953, length:0.7037659535762416, ratio:0.14913432835820895
time:6.473532199859619, length:1.5403863991127393, ratio:0.20680597014925373
time:2.0476691722869873, length:0.27404320208627425, ratio:0.13886567164179103
time:4.439344644546509, length:1.1247855841006742, ratio:0.16817910447761195
time:7.164318799972534, length:1.3520792792018226, ratio:0.1741492537313433
time:3.2926084995269775, length:0.6893176888483938, ratio:0.15492537313432836
time:3.1523170471191406, length:0.673042682386827, ratio:0.15880597014925374
time:7.961777925491333, length:1.370913088953651, ratio:0.18185074626865672
time:4.087098598480225, length:1.2056099094282802, ratio:0.16597014925373135
time:3.158233642578125, length:0.6654817303009579, ratio:0.1511044776119403
time:5.678448677062988, length:2.0310139341094477, ratio:0.22561194029850745
time:2.4968621730804443, length:0.24519528830850157, ratio:0.12871641791044777
time:5.466970443725586, length:1.6045419469303028, ratio:0.20573134328358209
time:5.775065660476685, length:2.0597216137495282, ratio:0.22752238805970149
time:6.492351531982422, length:2.0440977555324893, ratio:0.23767164179104477
time:2.288214921951294, length:0.24876337597398054, ratio:0.12913432835820896
time:5.0020551681518555, length:1.400793810565121, ratio:0.1862686567164179
time:4.4088873863220215, length:1.1538977000150141, ratio:0.16274626865671643
time:4.386549949645996, length:1.1347640824219347, ratio:0.17307462686567165
time:4.246685266494751, length:1.1529801049594104, ratio:0.16865671641791044
time:5.786478042602539, length:2.0201094659744556, ratio:0.23295522388059703
time:5.15286922454834, length:1.3537625992722473, ratio:0.16865671641791044
time:4.459304094314575, length:1.1514207699414678, ratio:0.1639402985074627
time:6.246452331542969, length:1.4614396217452843, ratio:0.1933731343283582
time:3.1270229816436768, length:0.7492731108052479, ratio:0.1514626865671642
time:4.6853251457214355, length:1.571243092496092, ratio:0.17659701492537314
time:4.019655704498291, length:1.186384936780005, ratio:0.17265671641791044
time:6.626666307449341, length:1.3702129638088592, ratio:0.17665671641791045
time:4.308691024780273, length:1.1460049809296378, ratio:0.17223880597014926
time:5.058967351913452, length:1.3561754951921003, ratio:0.17701492537313432
time:6.916414737701416, length:1.3783200556832143, ratio:0.18817910447761194
time:3.6584107875823975, length:1.1358810699021755, ratio:0.16549253731343283
time:3.6166980266571045, length:0.6835504657264235, ratio:0.1543283582089552
time:9.160744428634644, length:1.434248597662084, ratio:0.1888358208955224
time:2.6672749519348145, length:0.7230023709174345, ratio:0.15128358208955223
time:2.4856441020965576, length:0.2541384518519521, ratio:0.128
time:4.744068384170532, length:1.5313315962164438, ratio:0.18901492537313433
time:4.456275939941406, length:1.1536729708953786, ratio:0.1732537313432836
time:2.954975128173828, length:0.6802292271173491, ratio:0.15325373134328357
time:2.915287733078003, length:0.6759144099084354, ratio:0.1582686567164179
time:2.5025250911712646, length:0.2734095533713922, ratio:0.12782089552238807
time:3.8765769004821777, length:1.1303610770739656, ratio:0.15671641791044777
time:4.262280464172363, length:1.1390033456889266, ratio:0.17546268656716418
time:8.765711307525635, length:1.6169433705899612, ratio:0.20113432835820896
time:6.2783522605896, length:1.3830003693950519, ratio:0.18853731343283583
time:2.7170727252960205, length:0.69823130251593, ratio:0.15188059701492537
time:5.1760640144348145, length:1.3590405264739858, ratio:0.17802985074626865
time:8.038204908370972, length:1.36012962260936, ratio:0.1746268656716418
time:4.666667699813843, length:1.5967429078602362, ratio:0.2061492537313433
time:6.815516471862793, length:2.447185414290978, ratio:0.25838805970149253
time:4.445313215255737, length:1.1470097763173401, ratio:0.17850746268656717
time:4.042032718658447, length:1.1469486309034314, ratio:0.16370149253731342
time:5.770176887512207, length:1.7720610053343595, ratio:0.22543283582089552
time:5.696465492248535, length:1.3749448477488484, ratio:0.17713432835820894
time:3.789618492126465, length:1.1418271538812177, ratio:0.16692537313432837
time:5.361335515975952, length:1.5885435925109188, ratio:0.19988059701492536
time:2.764360189437866, length:0.7105274591428894, ratio:0.15349253731343285
time:2.848722457885742, length:0.6803172471124719, ratio:0.15176119402985075
time:5.169698238372803, length:1.3592006403233217, ratio:0.1732537313432836
time:2.9716386795043945, length:0.7550429604441218, ratio:0.15838805970149253
time:5.425698280334473, length:1.4197271454257674, ratio:0.18250746268656717
time:2.358567714691162, length:0.2611854907607405, ratio:0.14065671641791044
time:4.008955478668213, length:1.1548541635237646, ratio:0.17194029850746267
time:3.4880688190460205, length:0.6887295401755005, ratio:0.1511641791044776
time:4.47756290435791, length:1.1505668360611496, ratio:0.17307462686567165
time:4.233205556869507, length:1.1236868264632622, ratio:0.17092537313432835
time:9.08259630203247, length:0.552355022126811, ratio:0.1546268656716418
time:2.527662992477417, length:0.25639998549248244, ratio:0.14059701492537313
time:5.240281105041504, length:1.4805235289591545, ratio:0.188
time:5.988834619522095, length:1.395264303619658, ratio:0.1888955223880597
time:4.275996685028076, length:1.1478947540970112, ratio:0.17934328358208956
time:3.596726417541504, length:0.670832509918376, ratio:0.15223880597014924
time:4.749590635299683, length:1.358295243869402, ratio:0.18065671641791045
time:4.467831373214722, length:1.1429338446760338, ratio:0.18017910447761193
time:6.155925750732422, length:1.5012849144720375, ratio:0.18895522388059702
time:4.247212648391724, length:1.148193647385517, ratio:0.15886567164179105
time:4.236678123474121, length:1.1190341630418768, ratio:0.1755223880597015
time:4.479685544967651, length:0.9115373070169372, ratio:0.16632835820895522
time:13.825385570526123, length:4.656622539170324, ratio:0.3937313432835821
time:2.319086790084839, length:0.2623942706316622, ratio:0.14113432835820897
time:4.034966945648193, length:1.1565963699379003, ratio:0.16692537313432837
time:4.260497808456421, length:1.1149297988151865, ratio:0.1653731343283582
time:4.2145161628723145, length:1.1175570209837535, ratio:0.16340298507462686
time:3.124026298522949, length:0.6834876812062984, ratio:0.1506865671641791
time:5.273566007614136, length:1.5712147370778142, ratio:0.19367164179104476
time:5.082054853439331, length:1.6360333143728985, ratio:0.20507462686567166
time:4.900784730911255, length:1.5869242872418838, ratio:0.20298507462686566
time:4.229341983795166, length:1.1235142199361785, ratio:0.16907462686567165
