time:12.927742958068848, length:1.3689481103189027, ratio:0.1896716417910448
time:2.0478076934814453, length:0.2726641225465785, ratio:0.12746268656716417
time:7.11878514289856, length:1.3694924077707507, ratio:0.18155223880597016
time:6.367812633514404, length:1.6371679110604251, ratio:0.20346268656716418
time:6.071531057357788, length:1.356274528439109, ratio:0.17408955223880598
time:5.777383804321289, length:1.3842761715423146, ratio:0.18429850746268656
time:4.991257429122925, length:1.5591893442732503, ratio:0.20770149253731343
time:7.409498929977417, length:2.4812461656904166, ratio:0.2503880597014925
time:7.201021909713745, length:1.57167485573182, ratio:0.20501492537313432
time:4.525322437286377, length:1.1313060443340837, ratio:0.17701492537313432
time:4.561013460159302, length:1.1416667582563818, ratio:0.17355223880597015
time:4.153559446334839, length:1.1412120614200267, ratio:0.17140298507462687
time:3.3956217765808105, length:0.6877353139317083, ratio:0.15355223880597016
time:4.750857830047607, length:1.4672483222531485, ratio:0.19080597014925374
time:5.405056953430176, length:1.5948813737891725, ratio:0.2044776119402985
time:8.1840181350708, length:2.9179380761344422, ratio:0.24865671641791046
time:2.637110710144043, length:0.6599817438878401, ratio:0.1524179104477612
time:5.551486253738403, length:1.364801657437028, ratio:0.17982089552238806
time:4.3102638721466064, length:1.1089119310484479, ratio:0.17486567164179104
time:6.734064102172852, length:1.8121124806963684, ratio:0.21976119402985075
time:5.690687894821167, length:1.5110767046813367, ratio:0.20382089552238805
time:2.285069704055786, length:0.25473380855674094, ratio:0.13970149253731343
time:2.4890458583831787, length:0.25481871124319955, ratio:0.12913432835820896
time:5.499908685684204, length:1.5710977305849623, ratio:0.203044776119403
time:4.740110397338867, length:1.3960688636034109, ratio:0.1835223880597015
time:4.885127067565918, length:1.5862929675876714, ratio:0.19450746268656716
time:9.865362167358398, length:3.7826367808146237, ratio:0.3397014925373134
time:6.8264570236206055, length:1.7344248934069029, ratio:0.20549253731343284
time:9.304063320159912, length:3.3216536379396016, ratio:0.3074626865671642
time:5.848191499710083, length:1.360264017319801, ratio:0.18167164179104478
time:5.825448513031006, length:1.7879032251949136, ratio:0.24614925373134328
time:5.846094369888306, length:1.4360881092146214, ratio:0.18728358208955223
time:2.267010450363159, length:0.26280662352393025, ratio:0.14071641791044776
time:4.341838121414185, length:1.1202063748931081, ratio:0.17188059701492536
time:4.602754831314087, length:1.1412512806379238, ratio:0.17826865671641792
time:5.161982297897339, length:1.5754253488898695, ratio:0.19617910447761194
time:12.225791215896606, length:3.9704056135710744, ratio:0.3521194029850746
time:4.26746392250061, length:1.1356866130829608, ratio:0.16346268656716417
time:4.060818433761597, length:1.1196686484706968, ratio:0.1666865671641791
time:4.352473258972168, length:1.1133034513952174, ratio:0.1746865671641791
time:4.133663892745972, length:1.0827536403069482, ratio:0.16382089552238807
time:4.126934289932251, length:1.1392479595709954, ratio:0.16746268656716418
time:5.958545684814453, length:1.9896647025117495, ratio:0.212955223880597
time:7.475436210632324, length:1.4432228903592044, ratio:0.1871641791044776
time:3.1029882431030273, length:0.6818883137293669, ratio:0.1613134328358209
time:4.769027233123779, length:1.5337652256232475, ratio:0.18764179104477613
time:6.977343320846558, length:2.4493765868924253, ratio:0.25492537313432834
time:18.537720203399658, length:6.513306568287539, ratio:0.5174328358208955
time:7.93041467666626, length:2.0083848629916337, ratio:0.23611940298507464
time:10.057811737060547, length:1.832505396710332, ratio:0.22722388059701493
time:2.2653000354766846, length:0.3010594810808292, ratio:0.13092537313432837
time:6.424109697341919, length:1.6784300481156422, ratio:0.2199402985074627
time:4.5936102867126465, length:1.1264495363548104, ratio:0.17856716417910448
time:3.146282911300659, length:0.6733387953997907, ratio:0.15385074626865672
time:4.701251268386841, length:1.5849350412801997, ratio:0.19940298507462687
time:2.454033136367798, length:0.24436595579995105, ratio:0.13014925373134328
time:4.018988609313965, length:1.1535647545129373, ratio:0.16119402985074627
time:5.3082194328308105, length:1.5686890747617364, ratio:0.1924776119402985
time:5.997663736343384, length:2.0569211422040654, ratio:0.2093134328358209
time:4.156780958175659, length:1.1235532732980151, ratio:0.16602985074626866
time:5.370468616485596, length:1.584694709538645, ratio:0.20829850746268658
time:9.033480644226074, length:3.2884761659589152, ratio:0.3057910447761194
time:8.032660245895386, length:2.929311668500394, ratio:0.2733134328358209
time:6.896899938583374, length:1.361260994043705, ratio:0.18286567164179104
time:3.655583620071411, length:1.1421926957643906, ratio:0.16029850746268656
time:6.08557391166687, length:1.4848971479145505, ratio:0.19128358208955223
time:5.169199705123901, length:1.081982672865368, ratio:0.1647761194029851
time:10.266818046569824, length:3.831469942243779, ratio:0.3461492537313433
time:5.172899007797241, length:1.5579410935504585, ratio:0.2052537313432836
time:2.5109188556671143, length:0.25866685128932543, ratio:0.1417910447761194
time:7.59914755821228, length:1.5076538476408166, ratio:0.19002985074626866
time:6.378957033157349, length:1.3785348645211892, ratio:0.18901492537313433
time:4.714424133300781, length:1.567386660694461, ratio:0.20543283582089553
time:5.309935569763184, length:1.581945815391086, ratio:0.18274626865671642
time:4.528121709823608, length:1.1052422886430946, ratio:0.17140298507462687
time:8.106193542480469, length:1.4057074246305055, ratio:0.18029850746268658
time:15.046916246414185, length:1.9504252216395925, ratio:0.23737313432835822
time:2.48952054977417, length:0.2575543421122024, ratio:0.1296716417910448
time:4.305926561355591, length:1.1076081507570814, ratio:0.1586268656716418
time:5.498867034912109, length:1.5738087293869252, ratio:0.19880597014925372
time:9.667219877243042, length:3.3388493009443487, ratio:0.31229850746268656
time:6.394974946975708, length:1.4341402289401695, ratio:0.18555223880597016
time:5.3204734325408936, length:1.5746652536600219, ratio:0.2021492537313433
time:4.914561748504639, length:1.5743983082348545, ratio:0.20811940298507461
time:4.530258417129517, length:1.1454406832145414, ratio:0.16734328358208955
time:4.354702949523926, length:1.114606163411626, ratio:0.1684776119402985
time:2.5092709064483643, length:0.2997641116305866, ratio:0.12823880597014925
time:4.188265562057495, length:1.1322226872328551, ratio:0.17498507462686566
time:19.487305879592896, length:6.4457606515913834, ratio:0.4496119402985075
time:5.089316368103027, length:1.5892274253219507, ratio:0.20083582089552238
time:4.15034818649292, length:1.1301795456222574, ratio:0.17665671641791045
time:5.075928449630737, length:1.586112908641351, ratio:0.1911044776119403
time:4.956421613693237, length:1.3658689460265223, ratio:0.17719402985074628
time:2.9569437503814697, length:0.6942702277072825, ratio:0.15617910447761194
time:4.8882105350494385, length:1.5715006895438004, ratio:0.19450746268656716
time:11.789788007736206, length:4.188010312045833, ratio:0.35402985074626864
time:4.073572158813477, length:1.1466006743025847, ratio:0.15677611940298508
time:4.74366021156311, length:1.593560031885152, ratio:0.1831641791044776
time:8.986714601516724, length:3.3980893731714414, ratio:0.31134328358208957
time:6.138682842254639, length:0.6663099543569593, ratio:0.15802985074626866
time:2.173030376434326, length:0.26243857741658805, ratio:0.128
time:9.295410394668579, length:3.335727234196074, ratio:0.30722388059701494
time:2.2941086292266846, length:0.24760626368931624, ratio:0.14238805970149254
time:8.26545524597168, length:2.8979460834383333, ratio:0.2730149253731343
time:4.434067487716675, length:1.0636203647639, ratio:0.167044776119403
time:2.4837615489959717, length:0.25801473397080704, ratio:0.12949253731343283
time:6.583173036575317, length:1.422479349356892, ratio:0.18113432835820895
time:4.8885509967803955, length:1.5025463590567933, ratio:0.19223880597014925
time:6.042178392410278, length:1.5882411843572923, ratio:0.21671641791044777
time:7.379987001419067, length:2.393748541980503, ratio:0.26137313432835824
time:4.867425441741943, length:1.4037889378699937, ratio:0.17432835820895523
time:4.040587902069092, length:1.1500786839654853, ratio:0.1678805970149254
time:5.1101906299591064, length:1.3872706454066, ratio:0.18011940298507462
time:4.0443761348724365, length:1.1259120369642428, ratio:0.16513432835820896
time:4.574584484100342, length:1.109284204391375, ratio:0.17594029850746268
time:4.5545125007629395, length:1.210299996901305, ratio:0.172
time:9.860496520996094, length:3.7179766846660165, ratio:0.31570149253731344
time:4.750974893569946, length:1.5452683545685348, ratio:0.1862089552238806
time:6.38163423538208, length:1.7741377738533386, ratio:0.24835820895522387
time:13.991483688354492, length:1.794060143715004, ratio:0.2154626865671642
time:14.45562219619751, length:5.537361450064837, ratio:0.4236417910447761
time:2.3073277473449707, length:0.24845127555665306, ratio:0.12949253731343283
time:12.790951013565063, length:1.3718222078680842, ratio:0.1746865671641791
time:2.0755839347839355, length:0.26914954208169123, ratio:0.1381492537313433
time:7.886152744293213, length:1.6094333455890317, ratio:0.20997014925373134
time:13.417381525039673, length:1.5764798782559015, ratio:0.19486567164179106
time:4.720130205154419, length:1.5766184283913791, ratio:0.20644776119402986
time:11.910389184951782, length:4.162051748869003, ratio:0.3318805970149254
time:4.476843357086182, length:1.1543084152856962, ratio:0.17056716417910447
time:7.452847003936768, length:1.4750918225796525, ratio:0.19277611940298509
time:2.9254493713378906, length:0.6825138056704969, ratio:0.15002985074626865
time:5.108067274093628, length:1.5538124273131655, ratio:0.18865671641791046
time:5.710860729217529, length:2.000340077998939, ratio:0.20746268656716418
time:6.790619611740112, length:1.3649814116497272, ratio:0.1813134328358209
time:13.290207624435425, length:3.2413859932109563, ratio:0.32591044776119404
time:3.73223614692688, length:1.1181078384301726, ratio:0.16197014925373135
time:7.631514310836792, length:1.3667920025375773, ratio:0.18161194029850747
time:9.284719944000244, length:1.7258395151323331, ratio:0.2191641791044776
time:4.413870096206665, length:1.1602092456378914, ratio:0.176
time:2.565910816192627, length:0.25462947676825676, ratio:0.13701492537313434
time:4.057677984237671, length:1.1499300978138987, ratio:0.16023880597014925
time:4.251833438873291, length:1.139332059854769, ratio:0.1678805970149254
time:10.30568790435791, length:2.903185823906261, ratio:0.28626865671641794
time:4.703194618225098, length:1.4739622162725654, ratio:0.19355223880597014
time:18.02186679840088, length:3.3326506511153555, ratio:0.351044776119403
time:13.922921180725098, length:1.565036088897337, ratio:0.2035820895522388
time:4.056828260421753, length:1.1352451475897056, ratio:0.1675223880597015
time:4.811066150665283, length:1.5712185883699519, ratio:0.19892537313432837
time:4.381568193435669, length:1.1306241916199218, ratio:0.16698507462686568
time:4.450425386428833, length:1.1103557295739916, ratio:0.16513432835820896
time:4.544109344482422, length:1.1309367315725498, ratio:0.16811940298507463
time:4.3897528648376465, length:1.1265680659311155, ratio:0.1684776119402985
time:13.924311637878418, length:5.577718584352114, ratio:0.3992238805970149
time:1.9846007823944092, length:0.27417647651465654, ratio:0.12746268656716417
time:7.745307207107544, length:2.757732749894193, ratio:0.2785671641791045
time:5.892180919647217, length:1.4127700420831937, ratio:0.18567164179104478
time:6.148914098739624, length:2.01878299015058, ratio:0.23988059701492537
time:6.0332112312316895, length:2.029485478416932, ratio:0.2160597014925373
time:5.383466958999634, length:1.5680048539755151, ratio:0.20191044776119402
time:4.96087908744812, length:1.3565365823054585, ratio:0.17253731343283582
time:11.546209573745728, length:3.887483973262279, ratio:0.372
time:5.5716094970703125, length:1.5240356015458745, ratio:0.19164179104477613
time:5.00550103187561, length:1.5856540581636707, ratio:0.1924179104477612
time:5.186858177185059, length:1.5835683311886952, ratio:0.19140298507462686
time:4.5081517696380615, length:1.1169127160911876, ratio:0.17128358208955224
time:4.443734884262085, length:1.131023207239117, ratio:0.176
time:6.7118000984191895, length:1.8968213384230992, ratio:0.2315223880597015
time:5.487658500671387, length:1.5947131427509926, ratio:0.19629850746268657
time:5.37887978553772, length:1.5827190919303273, ratio:0.19552238805970149
time:7.761143684387207, length:2.8959355731626752, ratio:0.2700298507462687
time:5.97615647315979, length:1.8708141766680368, ratio:0.22752238805970149
time:4.997267246246338, length:1.5034085609703776, ratio:0.17492537313432835
time:4.961946964263916, length:1.4063187930996188, ratio:0.1808358208955224
time:4.744744300842285, length:1.520639576447283, ratio:0.19014925373134328
time:4.549627304077148, length:1.1422095237489587, ratio:0.18525373134328357
time:6.5900914669036865, length:1.9837008022345164, ratio:0.20961194029850747
time:5.152526378631592, length:1.577763098125336, ratio:0.1924776119402985
time:12.948516845703125, length:4.155260191855862, ratio:0.3467462686567164
time:5.558812618255615, length:1.5944801521799232, ratio:0.19402985074626866
time:5.960232496261597, length:1.5522434558900213, ratio:0.20173134328358208
time:6.924505949020386, length:1.7486698739595459, ratio:0.2174328358208955
time:4.947378635406494, length:1.5248091859991357, ratio:0.18394029850746269
time:9.252477645874023, length:1.8270729266474308, ratio:0.2213134328358209
time:4.797572612762451, length:1.6471519374232682, ratio:0.19791044776119404
time:4.705911874771118, length:1.4998558743289787, ratio:0.19002985074626866
time:4.584617853164673, length:1.1203086956389554, ratio:0.17456716417910448
time:13.011935472488403, length:5.09214167641416, ratio:0.39211940298507464
time:5.913804769515991, length:2.015806513765149, ratio:0.20346268656716418
time:4.844738483428955, length:1.629041652987416, ratio:0.20937313432835822
time:6.167609453201294, length:1.5952613639405646, ratio:0.21671641791044777
time:13.86398196220398, length:1.5822153316844927, ratio:0.20197014925373136
time:13.642040014266968, length:5.130922978300645, ratio:0.33791044776119405
time:6.654028654098511, length:1.4229905485003957, ratio:0.18913432835820895
time:5.418442010879517, length:1.554764150931187, ratio:0.17826865671641792
time:11.687225818634033, length:4.164732470680559, ratio:0.36895522388059704
time:4.689147233963013, length:1.5908781178804758, ratio:0.1928358208955224
time:2.70383358001709, length:0.7098940920085244, ratio:0.1537313432835821
time:6.303931474685669, length:2.0070786799470053, ratio:0.20943283582089553
time:6.9704015254974365, length:1.7416671639474715, ratio:0.20202985074626867
time:12.852108240127563, length:3.603946876994735, ratio:0.32
time:6.429145097732544, length:1.3977668826247092, ratio:0.18513432835820895
time:6.110045433044434, length:1.9417721441526434, ratio:0.23516417910447762
time:20.090832233428955, length:4.445883766969812, ratio:0.3813134328358209
time:6.579814195632935, length:2.012008726472317, ratio:0.2146268656716418
time:28.416173934936523, length:9.321840471725766, ratio:0.4398805970149254
time:8.665709972381592, length:2.144895365070732, ratio:0.26758208955223883
time:7.019622087478638, length:1.5761540283031148, ratio:0.20143283582089552
time:4.971726894378662, length:1.5989022405848228, ratio:0.20208955223880598
time:8.261965274810791, length:1.9041102239224894, ratio:0.24967164179104478
time:5.9562318325042725, length:2.0082302664551364, ratio:0.20937313432835822
time:10.248713731765747, length:3.761596844652718, ratio:0.3191641791044776
time:2.092803478240967, length:0.2730696187005594, ratio:0.14388059701492537
time:4.574007034301758, length:1.1383940239099715, ratio:0.17964179104477612
time:5.490179538726807, length:1.6426611645787224, ratio:0.2080597014925373
time:2.322805643081665, length:0.26832932249944236, ratio:0.14143283582089552
time:5.210628509521484, length:1.4629077914357795, ratio:0.18322388059701492
time:6.872215509414673, length:1.7738523863819184, ratio:0.21128358208955225
time:3.152658700942993, length:0.7094312063329069, ratio:0.1520597014925373
time:4.738337755203247, length:1.575220819940483, ratio:0.18555223880597016
time:8.546741247177124, length:2.1850791810561523, ratio:0.2536716417910448
time:3.8085293769836426, length:1.129343113360491, ratio:0.16011940298507463
time:3.5603675842285156, length:0.7186243867691927, ratio:0.15008955223880596
time:2.9523370265960693, length:0.6827546861274987, ratio:0.15719402985074626
time:17.382665395736694, length:5.082837745859587, ratio:0.3996417910447761
time:12.284391164779663, length:3.398295729615366, ratio:0.3115223880597015
time:7.95733642578125, length:2.91668564683047, ratio:0.2666865671641791
time:4.041632652282715, length:1.1439603680317678, ratio:0.16871641791044775
time:13.765547513961792, length:3.149169224952609, ratio:0.25050746268656715
time:5.494479417800903, length:1.5709515625973318, ratio:0.196
time:4.898224353790283, length:1.5730091513611044, ratio:0.20716417910447762
time:4.7803544998168945, length:1.6006995650605316, ratio:0.1924179104477612
time:12.61994981765747, length:3.826201280417001, ratio:0.3324179104477612
time:5.328418016433716, length:1.5818552941075041, ratio:0.21008955223880596
time:5.9171788692474365, length:1.3038321896778842, ratio:0.17307462686567165
time:7.428447961807251, length:2.417523359949722, ratio:0.2248955223880597
time:2.2663495540618896, length:0.25122148512126624, ratio:0.1422089552238806
time:8.077619075775146, length:2.0195954382000507, ratio:0.2217313432835821
time:14.129089593887329, length:5.540283290188164, ratio:0.3946865671641791
time:6.322552680969238, length:0.4882391750987598, ratio:0.15397014925373134
time:4.8195860385894775, length:1.5969410067332594, ratio:0.18417910447761193
time:12.764200448989868, length:1.9787094033014778, ratio:0.21653731343283583
time:4.6948113441467285, length:1.6118897526361864, ratio:0.19785074626865673
time:5.847043991088867, length:1.4327915367948945, ratio:0.18429850746268656
time:19.046879529953003, length:4.032708937325425, ratio:0.3591044776119403
time:4.516696453094482, length:1.1317124026374592, ratio:0.18901492537313433
time:10.886474847793579, length:3.966660889275028, ratio:0.35176119402985073
time:5.846384286880493, length:1.65334006755064, ratio:0.21946268656716417
time:11.339594841003418, length:3.667912960782277, ratio:0.3141492537313433
time:4.53434944152832, length:1.1314685914203708, ratio:0.17844776119402986
time:15.216283559799194, length:5.427621267035071, ratio:0.39719402985074626
time:7.922874450683594, length:1.5980415933045844, ratio:0.20411940298507464
time:6.697170734405518, length:1.7649824768186844, ratio:0.20740298507462687
time:9.420589685440063, length:3.3946077162997095, ratio:0.304
time:5.587207794189453, length:1.5478136829484366, ratio:0.18782089552238806
time:5.144902467727661, length:1.5661394074148256, ratio:0.19773134328358208
time:4.616238832473755, length:1.1276442345264985, ratio:0.16973134328358208
time:2.6845993995666504, length:0.7287904015108275, ratio:0.15450746268656718
time:5.292510509490967, length:1.5886306695460224, ratio:0.20429850746268657
time:5.732163667678833, length:2.004193887707295, ratio:0.21134328358208956
time:11.072005033493042, length:1.9279129312204641, ratio:0.2248358208955224
time:16.14858841896057, length:6.258729117122237, ratio:0.4438805970149254
time:6.4285454750061035, length:2.0254468356283906, ratio:0.21391044776119403
time:7.420738697052002, length:1.8480628431160193, ratio:0.21564179104477613
time:2.6498780250549316, length:0.6768128836428069, ratio:0.1528955223880597
time:5.948713541030884, length:1.9918206371256364, ratio:0.20459701492537313
time:8.805496215820312, length:3.348167135370162, ratio:0.30997014925373134
time:4.801528215408325, length:1.5657506270960115, ratio:0.18465671641791045
time:14.238905429840088, length:5.555702071297522, ratio:0.3868059701492537
time:15.58573031425476, length:4.324796653158589, ratio:0.3392238805970149
time:5.01457405090332, length:1.587319497920025, ratio:0.19880597014925372
time:4.874480724334717, length:1.5711548813803649, ratio:0.1937313432835821
time:13.902665853500366, length:5.579836323859416, ratio:0.3395223880597015
time:5.875808000564575, length:1.5639375758077803, ratio:0.1964179104477612
time:4.765421152114868, length:1.5837723871361937, ratio:0.20519402985074628
time:10.8769052028656, length:4.200061887454837, ratio:0.3494925373134328
time:5.011197090148926, length:1.5783411362195947, ratio:0.20202985074626867
time:9.949049949645996, length:2.8138176642988255, ratio:0.27265671641791045
time:11.815813779830933, length:3.6731732548895284, ratio:0.3542089552238806
time:5.280702352523804, length:1.6202736567858484, ratio:0.20710447761194029
